artist_id;artist_name;artist_popularity;followers;genres
"3Wok7FweiLrlia97LMCJh1";"Bill Fay";39;10376;"[""british folk""]"
"6YDIJAK6v8fMuaRtf3zBp90lrrAVmT5y0hdM9XLDrZSv";;;;
"3FXFTWgHGhloZsmtV0JRix";"Fabian Kash";41;268;"[]"
"2txHhyCwHjUEpJjWrEyqyX";"Tom Odell";75;781816;"[""indie anthem-folk"",""indie folk"",""neo mellow"",""pop"",""tropical house""]"
"3MCxkaTJmYKH0FZbe3rYxa";"Joe Purdy";54;55092;"[""acoustic pop"",""folk-pop"",""indie folk"",""neo mellow"",""new americana"",""stomp and holler""]"
"6u5mhJXgAKPTj6YVlZSPY9";"JD McPherson";56;39225;"[""funk"",""jump blues"",""modern blues"",""new americana"",""rock-and-roll"",""rockabilly""]"
"7dsv2rztUSoRBX3zM5c4L0";"Gregory Corso";7;189;"[""poetry""]"
"5km3TReHXRqvDuC83Fw3u74wQ3PyMz3WwJGI5uEqHUVR";;;;
"159qqlGwzE04xyqpfAwRLo";"Parkway Drive";67;340877;"[""alternative metal"",""groove metal"",""melodic metalcore"",""metalcore"",""nu metal"",""rap metal"",""screamo""]"
"267VY6GX5LyU5c9M85ECZQ";"Dinosaur Jr.";59;159190;"[""alternative pop"",""alternative rock"",""blues-rock"",""dance rock"",""dream pop"",""emo"",""funk rock"",""garage rock"",""grunge"",""indie pop"",""indie rock"",""lo-fi"",""modern rock"",""neo-psychedelic"",""new wave"",""noise pop"",""noise rock"",""permanent wave"",""post-hardcore"",""post-punk"",""power pop"",""punk"",""rock"",""shoegaze"",""slow core"",""space rock""]"
"1ifC4znYCvmMSJ0rght5JS";"Haux";66;30060;"[""chamber pop"",""indie anthem-folk"",""indie folk"",""indie poptimism"",""vapor soul""]"
"4W31XN2JH8mC54NkHdh04s";"Sertab Erener";59;75575;"[""turkish jazz"",""turkish pop"",""turkish rock""]"
"6GEykX11lQqp92UVOQQCC7";"DJ Premier";62;60824;"[""alternative hip hop"",""chillhop"",""east coast hip hop"",""hardcore hip hop"",""hip hop"",""turntablism""]"
"59sBwR0jPSTrbMtuTkRPN5";"Wild Rivers";59;8704;"[""acoustic pop"",""chamber pop"",""folk-pop"",""indie anthem-folk"",""indie folk"",""indiecoustica"",""neo mellow"",""new americana"",""stomp and holler""]"
"7g56xCsozigPH5OgmwinYA";"Ocean Sounds";64;14723;"[""environmental""]"
"7y97mc3bZRFXzT2szRM4L45HG9Eg7Ik8ZuNtMyGYTxLG";;;;
"5MlfccEEOw6kihsT8eQtbh";"Joe Cuba";42;13975;"[""boogaloo"",""cuban rumba"",""latin jazz"",""mambo"",""salsa"",""salsa international"",""tropical""]"
"5L91aUl7xH6F1pfW4SBCFI";"The Kyle Bennett Band";35;5011;"[""deep texas country"",""outlaw country"",""texas country""]"
"0g6VRF5TU1BM5FvK0yKyS2";"French For Rabbits";44;9263;"[]"
"13YmWQJFwgZrd4bf5IjMY4";"Brad Paisley";74;941697;"[""contemporary country"",""country"",""country christmas"",""country road"",""pop christmas""]"
"3uMrYsI7icaVVHV2DxMJqC";"Me & Us";43;5;"[]"
